Microsoft,742
Proofpoint,538
Mimecast,420
BAE Systems (SilverSky),282
Barracuda Networks,273
Zix,218
Symantec,143
Google,118
Cisco,96
SafeSysMail,87
Fidelity National Information Services,82
Forcepoint,81
Sophos,62
BankOnIT,61
EdgeWave,58
Conneticut Online Computer Center,39
Intermedia,28
GoSecure,24
Network Box USA,23
GoDaddy (secureserver.net),22
Rackspace,20
First National of Nebraska (Bank Holding Company),19
Jack Henry ProfitStars,19
TrendMicro,19
Trustwave,16
Securence,13
Network Solutions,12
Member Driven Technologies,11
SolarWinds,10
SonicWall,9
Vipre,9
Ongoing Operations,8
Red Rock Information Security,8
CNet (Oklahoma City MSP),6
FortiNet,6
Secure-24,6
FireEye,5
Michigan State University H-Net,5
SpamRaptor,5
carrierzone.com,4
CW Technology,4
ESP Inc. (CUSO),4
Infinite Solutions,4
Infogressive,4
iSparks,4
Mailprotector,4
NetSource One,4
OpenSRS,4
